"","Student ID","Gender","First Generation Indicator","Term Code","Cum UG Crs GPA"
"292",8147231,"Male","Not First Generation College Stdnt","202310",3.82
"293",8147231,"Male","Not First Generation College Stdnt","202320",3.87
"294",8147231,"Male","Not First Generation College Stdnt","202410",3.87
"295",8147313,"Male","Not First Generation College Stdnt","202310",3.76
"296",8147313,"Male","Not First Generation College Stdnt","202320",3.89
"297",8147313,"Male","Not First Generation College Stdnt","202410",3.89
"298",8147335,"Male","Not First Generation College Stdnt","202310",3.18
"299",8147335,"Male","Not First Generation College Stdnt","202320",3.2
"300",8147335,"Male","Not First Generation College Stdnt","202410",3.2
"301",8147369,"Female","Not First Generation College Stdnt","202310",3.9
"302",8147369,"Female","Not First Generation College Stdnt","202320",3.95
"303",8147369,"Female","Not First Generation College Stdnt","202410",3.95
"304",8147431,"Male","Not First Generation College Stdnt","202310",3.74
"305",8147431,"Male","Not First Generation College Stdnt","202320",3.61
"306",8147431,"Male","Not First Generation College Stdnt","202410",3.61
"307",8147458,"Male","Not First Generation College Stdnt","202310",4
"308",8147458,"Male","Not First Generation College Stdnt","202320",3.95
"309",8147458,"Male","Not First Generation College Stdnt","202410",3.95
"310",8147889,"Male","Not First Generation College Stdnt","202310",3.52
"311",8147889,"Male","Not First Generation College Stdnt","202320",3.3
"312",8147889,"Male","Not First Generation College Stdnt","202410",3.23
"313",8147973,"Male","Not First Generation College Stdnt","202310",3.8
"314",8147973,"Male","Not First Generation College Stdnt","202320",3.64
"315",8147973,"Male","Not First Generation College Stdnt","202410",3.64
"316",8148045,"Male","Not First Generation College Stdnt","202310",2.15
"317",8148045,"Male","Not First Generation College Stdnt","202320",2.3
"318",8148045,"Male","Not First Generation College Stdnt","202410",2.3
"319",8148167,"Female","First Generation College Stdnt","202310",3
"320",8148167,"Female","First Generation College Stdnt","202320",2.84
"321",8148167,"Female","First Generation College Stdnt","202410",2.84
"322",8148469,"Female","Not First Generation College Stdnt","202310",3.79
"323",8148469,"Female","Not First Generation College Stdnt","202320",3.67
"324",8148469,"Female","Not First Generation College Stdnt","202410",3.67
"325",8148923,"Male","Not First Generation College Stdnt","202310",3.43
"326",8148923,"Male","Not First Generation College Stdnt","202320",3.58
"327",8148923,"Male","Not First Generation College Stdnt","202410",3.58
"328",8149274,"Male","Not First Generation College Stdnt","202310",3.81
"329",8149274,"Male","Not First Generation College Stdnt","202320",3.82
"330",8149274,"Male","Not First Generation College Stdnt","202410",3.82
"331",8149335,"Male","Not First Generation College Stdnt","202310",3.32
"332",8149335,"Male","Not First Generation College Stdnt","202320",3.35
"333",8149335,"Male","Not First Generation College Stdnt","202410",3.35
"334",8149556,"Male","Not First Generation College Stdnt","202310",3.92
"335",8149556,"Male","Not First Generation College Stdnt","202320",3.96
"336",8149556,"Male","Not First Generation College Stdnt","202410",3.96
"337",8150667,"Female","Not First Generation College Stdnt","202310",4
"338",8150667,"Female","Not First Generation College Stdnt","202320",4
"339",8150667,"Female","Not First Generation College Stdnt","202410",4
"340",8150970,"Male","Not First Generation College Stdnt","202310",2.36
"341",8150970,"Male","Not First Generation College Stdnt","202320",2.95
"342",8150970,"Male","Not First Generation College Stdnt","202410",2.95
"343",8151012,"Female","Not First Generation College Stdnt","202310",3.94
"344",8151012,"Female","Not First Generation College Stdnt","202320",3.95
"345",8151012,"Female","Not First Generation College Stdnt","202410",3.95
"346",8151086,"Female","Not First Generation College Stdnt","202310",3.19
"347",8151086,"Female","Not First Generation College Stdnt","202320",3.28
"348",8151086,"Female","Not First Generation College Stdnt","202410",3.28
"349",8151107,"Female","Not First Generation College Stdnt","202310",3.53
"350",8151107,"Female","Not First Generation College Stdnt","202320",3.67
"351",8151107,"Female","Not First Generation College Stdnt","202410",3.67
"352",8151305,"Male","Not First Generation College Stdnt","202310",3.46
"353",8151305,"Male","Not First Generation College Stdnt","202320",3.05
"354",8151305,"Male","Not First Generation College Stdnt","202410",3.05
"355",8151587,"Male","Not First Generation College Stdnt","202310",3.91
"356",8151587,"Male","Not First Generation College Stdnt","202320",3.95
"357",8151587,"Male","Not First Generation College Stdnt","202410",3.95
"358",8151654,"Male","Not First Generation College Stdnt","202310",3.2
"359",8151654,"Male","Not First Generation College Stdnt","202320",3.02
"360",8151654,"Male","Not First Generation College Stdnt","202410",3.02
"361",8152069,"Male","First Generation College Stdnt","202310",3.13
"362",8152069,"Male","First Generation College Stdnt","202320",2.93
"363",8152069,"Male","First Generation College Stdnt","202410",2.93
"364",8152178,"Male","Not First Generation College Stdnt","202310",3.86
"365",8152178,"Male","Not First Generation College Stdnt","202320",3.93
"366",8152178,"Male","Not First Generation College Stdnt","202410",3.94
"367",8152289,"Female","Not First Generation College Stdnt","202310",2.26
"368",8152289,"Female","Not First Generation College Stdnt","202320",2.45
"369",8152289,"Female","Not First Generation College Stdnt","202410",2.45
"370",8152321,"Male","Not First Generation College Stdnt","202310",3.44
"371",8152321,"Male","Not First Generation College Stdnt","202320",3.4
"372",8152321,"Male","Not First Generation College Stdnt","202410",3.4
"373",8152325,"Female","Not First Generation College Stdnt","202310",3
"374",8152325,"Female","Not First Generation College Stdnt","202320",3.18
"375",8152325,"Female","Not First Generation College Stdnt","202410",3.18
"376",8152659,"Male","Not First Generation College Stdnt","202310",3.95
"377",8152659,"Male","Not First Generation College Stdnt","202320",3.85
"378",8152659,"Male","Not First Generation College Stdnt","202410",3.85
"379",8152713,"Female","Not First Generation College Stdnt","202310",3.39
"380",8152713,"Female","Not First Generation College Stdnt","202320",3.33
"381",8152713,"Female","Not First Generation College Stdnt","202410",3.33
"382",8153312,"Male","Not First Generation College Stdnt","202310",4
"383",8153312,"Male","Not First Generation College Stdnt","202320",4
"384",8153312,"Male","Not First Generation College Stdnt","202410",4
"385",8153342,"Male","Not First Generation College Stdnt","202310",3.83
"386",8153342,"Male","Not First Generation College Stdnt","202320",3.77
"387",8153342,"Male","Not First Generation College Stdnt","202410",3.77
"388",8153377,"Female","Not First Generation College Stdnt","202310",4
"389",8153377,"Female","Not First Generation College Stdnt","202320",4
"390",8153377,"Female","Not First Generation College Stdnt","202410",4
"391",8153499,"Male","Not First Generation College Stdnt","202310",4
"392",8153499,"Male","Not First Generation College Stdnt","202320",4
"393",8153499,"Male","Not First Generation College Stdnt","202410",4
"394",8153542,"Male","Not First Generation College Stdnt","202310",3.71
"395",8153542,"Male","Not First Generation College Stdnt","202320",3.85
"396",8153542,"Male","Not First Generation College Stdnt","202410",3.85
"397",8154129,"Female","Not First Generation College Stdnt","202310",3.72
"398",8154129,"Female","Not First Generation College Stdnt","202320",3.86
"399",8154129,"Female","Not First Generation College Stdnt","202410",3.86
"400",8154142,"Male","Not First Generation College Stdnt","202310",2.74
"401",8154142,"Male","Not First Generation College Stdnt","202320",2.77
"402",8154142,"Male","Not First Generation College Stdnt","202410",2.77
"403",8154259,"Male","Not First Generation College Stdnt","202310",2.65
"404",8154259,"Male","Not First Generation College Stdnt","202320",1.98
"405",8154259,"Male","Not First Generation College Stdnt","202410",1.98
"406",8154315,"Male","Not First Generation College Stdnt","202310",3.17
"407",8154315,"Male","Not First Generation College Stdnt","202320",3.28
"408",8154315,"Male","Not First Generation College Stdnt","202410",3.28
"409",8154337,"Male","Not First Generation College Stdnt","202310",3.16
"410",8154337,"Male","Not First Generation College Stdnt","202320",2.99
"411",8154337,"Male","Not First Generation College Stdnt","202410",2.99
"412",8160801,"Female","Not First Generation College Stdnt","202310",4
"413",8160801,"Female","Not First Generation College Stdnt","202320",4
"414",8160801,"Female","Not First Generation College Stdnt","202410",4
"415",8160820,"Female","Not First Generation College Stdnt","202310",3.42
"416",8160820,"Female","Not First Generation College Stdnt","202320",3.28
"417",8160820,"Female","Not First Generation College Stdnt","202410",3.28
"418",8160972,"Female","Not First Generation College Stdnt","202310",3.31
"419",8160972,"Female","Not First Generation College Stdnt","202320",2.78
"420",8160972,"Female","Not First Generation College Stdnt","202410",2.78
"421",8161157,"Male","First Generation College Stdnt","202310",3.29
